Päivämäärä;Huopalahti (asema);Kaisaniemi;Kulosaaren silta et.;Kulosaaren silta po. ;Kuusisaarentie;Lauttasaaren silta eteläpuoli;Merikannontie;Munkkiniemen silta eteläpuoli;Munkkiniemi silta pohjoispuoli;Heperian puisto (Ooppera);Pitkäsilta itäpuoli;Pitkäsilta länsipuoli;Lauttasaaren silta pohjoispuoli;Ratapihantie;Eteläesplanadi;Baana
ke 15 tammi 2014 15:00;;116;;;;;;16;30;25;;15;;;23;39
ke 15 tammi 2014 16:00;;53;;;;;;34;38;22;;18;;;26;69
ke 15 tammi 2014 17:00;;47;;;;;;20;30;5;;25;;;31;70
ke 15 tammi 2014 18:00;;70;;;;;;19;17;2;;23;;;20;36
ke 15 tammi 2014 19:00;;20;;;;;;15;13;3;;18;;;8;16
ke 15 tammi 2014 20:00;;113;;;;;;8;15;2;;8;;;7;18
ke 15 tammi 2014 21:00;;10;;;;;;6;11;1;;7;;;5;20
ke 15 tammi 2014 22:00;;28;;;;;;4;5;1;;6;;;3;8
ke 15 tammi 2014 23:00;;2;;;;;;0;1;0;;0;;;1;2
to 16 tammi 2014 00:00;;2;;;;;;0;1;1;;0;;;2;1
to 16 tammi 2014 01:00;;1;;;;;;0;0;1;;1;;;0;2
to 16 tammi 2014 02:00;;0;;;;;;1;1;0;;0;;;2;0
to 16 tammi 2014 03:00;;0;;;;;;0;1;0;;3;;;0;2
to 16 tammi 2014 04:00;;4;;;;;;0;1;0;;1;;;5;1
to 16 tammi 2014 05:00;;0;;;;;;0;1;0;;4;;;3;13
to 16 tammi 2014 06:00;;102;;;;;;8;11;5;;5;;;8;28
to 16 tammi 2014 07:00;;33;;;;;;37;34;10;;10;;;25;43
to 16 tammi 2014 08:00;;61;;;;;;47;54;26;;10;;;33;78
to 16 tammi 2014 09:00;;80;;;;;;10;22;29;;15;;;16;57
to 16 tammi 2014 10:00;;33;;;;;;6;9;16;;12;;;13;14
to 16 tammi 2014 11:00;;99;;;;;;5;7;8;;13;;;22;17
to 16 tammi 2014 12:00;;19;;;;;;11;11;12;;19;;;9;13
to 16 tammi 2014 13:00;;87;;;;;;8;12;10;;15;;;9;12
to 16 tammi 2014 14:00;;18;;;;;;1;16;11;;21;;;18;16
to 16 tammi 2014 15:00;;39;;;;;;26;25;29;;18;;;33;37
to 16 tammi 2014 16:00;;35;;;;;;36;45;19;;14;;;20;63
to 16 tammi 2014 17:00;;25;;;;;;24;35;14;;15;;;32;60
to 16 tammi 2014 18:00;;28;;;;;;25;21;9;;14;;;26;31
to 16 tammi 2014 19:00;;113;;;;;;8;10;6;;9;;;13;19
to 16 tammi 2014 20:00;;10;;;;;;14;6;0;;9;;;7;22
to 16 tammi 2014 21:00;;13;;;;;;9;6;5;;3;;;4;3
to 16 tammi 2014 22:00;;24;;;;;;4;3;1;;7;;;3;8
to 16 tammi 2014 23:00;;3;;;;;;2;0;2;;5;;;2;1
pe 17 tammi 2014 00:00;;1;;;;;;1;0;0;;0;;;2;2
pe 17 tammi 2014 01:00;;1;;;;;;1;0;0;;0;;;1;1
pe 17 tammi 2014 02:00;;0;;;;;;0;0;0;;0;;;0;1
pe 17 tammi 2014 03:00;;0;;;;;;0;0;0;;1;;;0;0
pe 17 tammi 2014 04:00;;0;;;;;;0;0;0;;1;;;0;1
pe 17 tammi 2014 05:00;;0;;;;;;1;3;0;;4;;;3;6
pe 17 tammi 2014 06:00;;12;;;;;;8;12;3;;2;;;7;16
pe 17 tammi 2014 07:00;;30;;;;;;30;26;6;;8;;;18;41
pe 17 tammi 2014 08:00;;33;;;;;;36;37;18;;12;;;29;73
pe 17 tammi 2014 09:00;;22;;;;;;13;19;32;;10;;;20;43
pe 17 tammi 2014 10:00;;14;;;;;;8;14;14;;9;;;7;20
pe 17 tammi 2014 11:00;;4;;;;;;6;5;8;;8;;;16;13
pe 17 tammi 2014 12:00;;9;;;;;;9;7;12;;13;;;10;14
pe 17 tammi 2014 13:00;;4;;;;;;12;13;11;;14;;;11;12
pe 17 tammi 2014 14:00;;14;;;;;;14;14;10;;13;;;10;18
pe 17 tammi 2014 15:00;;26;;;;;;15;20;33;;16;;;23;37
pe 17 tammi 2014 16:00;;30;;;;;;31;24;25;;15;;;23;63
pe 17 tammi 2014 17:00;;1;;;;;;30;21;7;;14;;;23;47
pe 17 tammi 2014 18:00;;25;;;;;;14;11;8;;9;;;17;28
pe 17 tammi 2014 19:00;;14;;;;;;11;7;3;;7;;;10;9
pe 17 tammi 2014 20:00;;9;;;;;;4;5;3;;4;;;4;11
pe 17 tammi 2014 21:00;;7;;;;;;5;8;0;;5;;;2;7
pe 17 tammi 2014 22:00;;3;;;;;;3;1;1;;4;;;0;1
pe 17 tammi 2014 23:00;;2;;;;;;2;1;2;;2;;;1;4
la 18 tammi 2014 00:00;;3;;;;;;0;0;1;;4;;;2;5
la 18 tammi 2014 01:00;;1;;;;;;0;0;0;;4;;;3;1
la 18 tammi 2014 02:00;;2;;;;;;1;1;0;;2;;;0;0
la 18 tammi 2014 03:00;;1;;;;;;0;1;0;;1;;;0;0
la 18 tammi 2014 04:00;;0;;;;;;0;0;1;;1;;;1;1
la 18 tammi 2014 05:00;;0;;;;;;0;0;0;;0;;;2;2
la 18 tammi 2014 06:00;;0;;;;;;1;2;0;;0;;;1;3
la 18 tammi 2014 07:00;;3;;;;;;1;5;0;;2;;;2;6
la 18 tammi 2014 08:00;;4;;;;;;4;3;0;;3;;;6;4
la 18 tammi 2014 09:00;;3;;;;;;4;5;4;;5;;;4;7
la 18 tammi 2014 10:00;;4;;;;;;5;2;2;;9;;;10;2
la 18 tammi 2014 11:00;;7;;;;;;6;4;8;;10;;;4;13
la 18 tammi 2014 12:00;;4;;;;;;5;4;2;;9;;;6;10
la 18 tammi 2014 13:00;;7;;;;;;5;4;12;;7;;;5;10
la 18 tammi 2014 14:00;;3;;;;;;10;15;6;;20;;;14;8
la 18 tammi 2014 15:00;;8;;;;;;10;7;9;;18;;;7;8
la 18 tammi 2014 16:00;;7;;;;;;7;7;4;;10;;;8;9
la 18 tammi 2014 17:00;;9;;;;;;5;5;2;;5;;;9;6
la 18 tammi 2014 18:00;;6;;;;;;3;6;0;;3;;;6;4
la 18 tammi 2014 19:00;;3;;;;;;4;9;3;;1;;;1;7
la 18 tammi 2014 20:00;;3;;;;;;4;0;1;;0;;;1;4
la 18 tammi 2014 21:00;;1;;;;;;1;4;0;;3;;;6;2
la 18 tammi 2014 22:00;;5;;;;;;1;2;0;;4;;;0;2
la 18 tammi 2014 23:00;;4;;;;;;0;3;0;;6;;;2;1
su 19 tammi 2014 00:00;;0;;;;;;2;0;0;;1;;;4;0
su 19 tammi 2014 01:00;;1;;;;;;0;2;0;;4;;;2;3
su 19 tammi 2014 02:00;;0;;;;;;0;0;0;;0;;;0;0
su 19 tammi 2014 03:00;;0;;;;;;0;1;0;;2;;;0;1
su 19 tammi 2014 04:00;;0;;;;;;0;0;0;;1;;;1;0
su 19 tammi 2014 05:00;;0;;;;;;0;0;1;;0;;;2;1
su 19 tammi 2014 06:00;;3;;;;;;1;3;0;;0;;;0;3
su 19 tammi 2014 07:00;;14;;;;;;2;2;0;;2;;;3;2
su 19 tammi 2014 08:00;;2;;;;;;3;1;0;;1;;;3;2
su 19 tammi 2014 09:00;;13;;;;;;4;3;3;;4;;;2;6
su 19 tammi 2014 10:00;;10;;;;;;5;3;6;;5;;;5;5
su 19 tammi 2014 11:00;;5;;;;;;6;9;7;;11;;;8;5
su 19 tammi 2014 12:00;;2;;;;;;1;11;5;;8;;;4;6
su 19 tammi 2014 13:00;;7;;;;;;6;10;4;;9;;;3;9
su 19 tammi 2014 14:00;;13;;;;;;4;8;15;;7;;;6;11
su 19 tammi 2014 15:00;;6;;;;;;8;7;9;;4;;;4;10
su 19 tammi 2014 16:00;;10;;;;;;3;7;1;;7;;;4;9
su 19 tammi 2014 17:00;;8;;;;;;4;9;1;;8;;;9;9
su 19 tammi 2014 18:00;;7;;;;;;1;5;2;;5;;;4;16
su 19 tammi 2014 19:00;;3;;;;;;3;6;1;;5;;;4;1
su 19 tammi 2014 20:00;;3;;;;;;4;4;1;;8;;;1;11
su 19 tammi 2014 21:00;;17;;;;;;2;1;2;;6;;;3;3
su 19 tammi 2014 22:00;;0;;;;;;1;2;0;;4;;;2;4
su 19 tammi 2014 23:00;;1;;;;;;0;1;1;;3;;;0;1
ma 20 tammi 2014 00:00;;0;;;;;;2;0;0;;0;;;2;0
ma 20 tammi 2014 01:00;;0;;;;;;0;0;0;;1;;;0;3
ma 20 tammi 2014 02:00;;0;;;;;;1;1;0;;1;;;0;3
ma 20 tammi 2014 03:00;;0;;;;;;0;1;0;;0;;;0;0
ma 20 tammi 2014 04:00;;0;;;;;;0;0;0;;0;;;0;3
ma 20 tammi 2014 05:00;;0;;;;;;0;1;1;;2;;;5;9
ma 20 tammi 2014 06:00;;7;;;;;;11;13;4;;5;;;3;16
ma 20 tammi 2014 07:00;;26;;;;;;31;32;11;;6;;;16;57
ma 20 tammi 2014 08:00;;49;;;;;;43;30;27;;13;;;40;72
ma 20 tammi 2014 09:00;;36;;;;;;14;21;23;;10;;;23;52
ma 20 tammi 2014 10:00;;20;;;;;;7;11;9;;3;;;7;20
ma 20 tammi 2014 11:00;;14;;;;;;1;7;12;;12;;;14;13
ma 20 tammi 2014 12:00;;9;;;;;;5;8;14;;6;;;18;23
ma 20 tammi 2014 13:00;;6;;;;;;6;10;13;;9;;;15;13
ma 20 tammi 2014 14:00;;15;;;;;;6;16;7;;14;;;18;17
ma 20 tammi 2014 15:00;;21;;;;;;20;28;29;;11;;;19;26
ma 20 tammi 2014 16:00;;11;;;;;;30;37;27;;14;;;42;59
ma 20 tammi 2014 17:00;;36;;;;;;26;35;15;;14;;;33;71
ma 20 tammi 2014 18:00;;27;;;;;;17;25;8;;15;;;17;47
ma 20 tammi 2014 19:00;;22;;;;;;17;14;4;;10;;;13;18
ma 20 tammi 2014 20:00;;8;;;;;;11;17;2;;5;;;5;14
ma 20 tammi 2014 21:00;;6;;;;;;5;7;2;;3;;;8;16
ma 20 tammi 2014 22:00;;3;;;;;;7;3;1;;5;;;1;1
ma 20 tammi 2014 23:00;;2;;;;;;1;0;0;;2;;;2;1
ti 21 tammi 2014 00:00;;0;;;;;;0;0;1;;1;;;1;0
ti 21 tammi 2014 01:00;;0;;;;;;0;1;0;;1;;;0;1
ti 21 tammi 2014 02:00;;0;;;;;;0;0;0;;0;;;1;0
ti 21 tammi 2014 03:00;;0;;;;;;0;0;1;;1;;;0;0
ti 21 tammi 2014 04:00;;0;;;;;;0;1;0;;1;;;0;1
ti 21 tammi 2014 05:00;;0;;;;;;0;0;0;;2;;;4;4
ti 21 tammi 2014 06:00;;11;;;;;;10;11;5;;3;;;7;21
ti 21 tammi 2014 07:00;;29;;;;;;29;42;9;;4;;;13;56
ti 21 tammi 2014 08:00;;47;;;;;;46;39;33;;9;;;40;78
ti 21 tammi 2014 09:00;;36;;;;;;10;14;26;;20;;;33;52
ti 21 tammi 2014 10:00;;14;;;;;;8;4;15;;6;;;15;16
ti 21 tammi 2014 11:00;;7;;;;;;3;7;9;;9;;;14;16
ti 21 tammi 2014 12:00;;12;;;;;;2;8;14;;13;;;12;21
ti 21 tammi 2014 13:00;;11;;;;;;6;10;15;;8;;;20;21
ti 21 tammi 2014 14:00;;10;;;;;;5;13;11;;11;;;14;25
ti 21 tammi 2014 15:00;;26;;;;;;19;31;32;;16;;;24;28
ti 21 tammi 2014 16:00;;41;;;;;;42;35;31;;21;;;32;66
ti 21 tammi 2014 17:00;;32;;;;;;21;24;7;;15;;;27;78
ti 21 tammi 2014 18:00;;42;;;;;;21;19;4;;22;;;22;50
ti 21 tammi 2014 19:00;;17;;;;;;20;12;9;;12;;;17;36
ti 21 tammi 2014 20:00;;11;;;;;;17;13;6;;7;;;6;21
ti 21 tammi 2014 21:00;;8;;;;;;5;6;5;;9;;;3;9
ti 21 tammi 2014 22:00;;4;;;;;;3;7;0;;5;;;4;7
ti 21 tammi 2014 23:00;;1;;;;;;3;0;0;;1;;;0;3
ke 22 tammi 2014 00:00;;1;;;;;;0;0;0;;0;;;2;0
ke 22 tammi 2014 01:00;;0;;;;;;0;0;0;;0;;;1;1
ke 22 tammi 2014 02:00;;0;;;;;;0;2;0;;0;;;0;1
ke 22 tammi 2014 03:00;;0;;;;;;0;0;0;;1;;;0;2
ke 22 tammi 2014 04:00;;0;;;;;;0;1;0;;0;;;0;2
ke 22 tammi 2014 05:00;;6;;;;;;0;1;2;;2;;;3;4
ke 22 tammi 2014 06:00;;27;;;;;;4;13;2;;6;;;2;18
ke 22 tammi 2014 07:00;;66;;;;;;31;25;8;;4;;;19;55
ke 22 tammi 2014 08:00;;72;;;;;;28;35;37;;13;;;41;84
ke 22 tammi 2014 09:00;;59;;;;;;8;21;26;;16;;;21;52
ke 22 tammi 2014 10:00;;13;;;;;;5;7;13;;7;;;13;11
ke 22 tammi 2014 11:00;;10;;;;;;7;6;11;;8;;;12;17
ke 22 tammi 2014 12:00;;9;;;;;;8;8;6;;5;;;12;14
ke 22 tammi 2014 13:00;;10;;;;;;9;13;7;;8;;;11;11
ke 22 tammi 2014 14:00;;15;;;;;;4;10;9;;13;;;12;24
ke 22 tammi 2014 15:00;;32;;;;;;12;27;27;;13;;;20;31
ke 22 tammi 2014 16:00;;41;;;;;;30;25;32;;16;;;30;66
ke 22 tammi 2014 17:00;;37;;;;;;23;31;9;;11;;;30;66
ke 22 tammi 2014 18:00;;22;;;;;;18;16;7;;9;;;16;37
ke 22 tammi 2014 19:00;;7;;;;;;7;12;7;;9;;;13;26
ke 22 tammi 2014 20:00;;12;;;;;;11;10;4;;9;;;11;13
ke 22 tammi 2014 21:00;;9;;;;;;5;7;1;;10;;;5;11
ke 22 tammi 2014 22:00;;2;;;;;;4;5;1;;4;;;3;7
ke 22 tammi 2014 23:00;;2;;;;;;1;1;0;;3;;;3;1
to 23 tammi 2014 00:00;;0;;;;;;0;1;0;;0;;;2;0
to 23 tammi 2014 01:00;;1;;;;;;1;1;0;;1;;;0;1
to 23 tammi 2014 02:00;;0;;;;;;0;1;0;;0;;;0;0
to 23 tammi 2014 03:00;;1;;;;;;0;0;0;;2;;;1;1
to 23 tammi 2014 04:00;;0;;;;;;0;2;0;;0;;;0;1
to 23 tammi 2014 05:00;;2;;;;;;0;0;2;;4;;;1;4
to 23 tammi 2014 06:00;;11;;;;;;5;8;1;;3;;;6;17
to 23 tammi 2014 07:00;;38;;;;;;33;24;12;;4;;;19;41
to 23 tammi 2014 08:00;;42;;;;;;25;35;29;;8;;;31;77
to 23 tammi 2014 09:00;;47;;;;;;10;17;23;;16;;;23;39
to 23 tammi 2014 10:00;;16;;;;;;4;3;11;;11;;;11;22
to 23 tammi 2014 11:00;;15;;;;;;4;6;5;;20;;;12;14
to 23 tammi 2014 12:00;;12;;;;;;7;10;6;;17;;;15;14
to 23 tammi 2014 13:00;;7;;;;;;7;10;11;;16;;;9;13
to 23 tammi 2014 14:00;;15;;;;;;3;10;11;;14;;;14;25
to 23 tammi 2014 15:00;;28;;;;;;16;32;32;;15;;;30;31
to 23 tammi 2014 16:00;;32;;;;;;33;28;30;;14;;;31;56
to 23 tammi 2014 17:00;;32;;;;;;19;29;11;;26;;;26;66
to 23 tammi 2014 18:00;;16;;;;;;12;8;8;;15;;;12;33
to 23 tammi 2014 19:00;;14;;;;;;11;9;5;;8;;;8;18
to 23 tammi 2014 20:00;;9;;;;;;5;9;2;;9;;;8;16
to 23 tammi 2014 21:00;;5;;;;;;4;2;5;;3;;;6;9
to 23 tammi 2014 22:00;;6;;;;;;3;1;3;;0;;;3;1
to 23 tammi 2014 23:00;;4;;;;;;1;1;0;;3;;;3;1
pe 24 tammi 2014 00:00;;0;;;;;;0;0;0;;0;;;1;0
pe 24 tammi 2014 01:00;;0;;;;;;0;0;0;;0;;;1;2
pe 24 tammi 2014 02:00;;0;;;;;;0;1;1;;1;;;5;0
pe 24 tammi 2014 03:00;;0;;;;;;0;0;0;;2;;;0;1
pe 24 tammi 2014 04:00;;0;;;;;;0;1;0;;0;;;0;2
pe 24 tammi 2014 05:00;;17;;;;;;0;0;0;;3;;;2;5
pe 24 tammi 2014 06:00;;20;;;;;;7;11;3;;5;;;1;17
pe 24 tammi 2014 07:00;;30;;;;;;20;25;3;;4;;;13;36
pe 24 tammi 2014 08:00;;19;;;;;;29;31;28;;15;;;32;60
pe 24 tammi 2014 09:00;;68;;;;;;4;13;28;;7;;;18;41
pe 24 tammi 2014 10:00;;11;;;;;;4;3;12;;13;;;12;16
pe 24 tammi 2014 11:00;;10;;;;;;2;6;6;;13;;;15;12
pe 24 tammi 2014 12:00;;4;;;;;;3;8;10;;10;;;15;10
pe 24 tammi 2014 13:00;;10;;;;;;3;7;12;;16;;;14;13
pe 24 tammi 2014 14:00;;12;;;;;;8;13;15;;8;;;16;20
pe 24 tammi 2014 15:00;;20;;;;;;10;25;25;;19;;;25;24
pe 24 tammi 2014 16:00;;27;;;;;;25;25;30;;16;;;16;50
pe 24 tammi 2014 17:00;;29;;;;;;19;16;8;;26;;;19;38
pe 24 tammi 2014 18:00;;20;;;;;;6;9;7;;13;;;7;29
pe 24 tammi 2014 19:00;;10;;;;;;7;6;4;;6;;;8;16
pe 24 tammi 2014 20:00;;4;;;;;;8;6;2;;6;;;7;16
pe 24 tammi 2014 21:00;;1;;;;;;6;4;2;;7;;;3;7
pe 24 tammi 2014 22:00;;1;;;;;;1;4;2;;8;;;3;2
pe 24 tammi 2014 23:00;;4;;;;;;0;1;0;;1;;;6;2
la 25 tammi 2014 00:00;;5;;;;;;0;0;0;;3;;;4;2
la 25 tammi 2014 01:00;;1;;;;;;0;0;1;;2;;;0;2
la 25 tammi 2014 02:00;;1;;;;;;0;0;0;;3;;;1;1
la 25 tammi 2014 03:00;;1;;;;;;0;2;0;;2;;;0;0
la 25 tammi 2014 04:00;;2;;;;;;0;0;0;;1;;;0;0
la 25 tammi 2014 05:00;;1;;;;;;0;0;0;;0;;;0;1
la 25 tammi 2014 06:00;;2;;;;;;2;3;0;;2;;;2;2
la 25 tammi 2014 07:00;;1;;;;;;6;5;0;;0;;;3;3
la 25 tammi 2014 08:00;;6;;;;;;2;1;2;;2;;;4;4
la 25 tammi 2014 09:00;;3;;;;;;5;2;5;;6;;;2;7
la 25 tammi 2014 10:00;;5;;;;;;6;8;7;;4;;;5;11
la 25 tammi 2014 11:00;;4;;;;;;5;8;9;;7;;;6;10
la 25 tammi 2014 12:00;;9;;;;;;1;9;7;;12;;;8;7
la 25 tammi 2014 13:00;;5;;;;;;6;15;12;;13;;;8;17
la 25 tammi 2014 14:00;;17;;;;;;5;6;13;;22;;;13;14
la 25 tammi 2014 15:00;;6;;;;;;9;10;9;;12;;;15;9
la 25 tammi 2014 16:00;;8;;;;;;8;11;9;;11;;;10;9
la 25 tammi 2014 17:00;;8;;;;;;4;4;1;;9;;;4;13
la 25 tammi 2014 18:00;;11;;;;;;2;5;3;;15;;;5;7
la 25 tammi 2014 19:00;;2;;;;;;2;3;2;;2;;;8;7
la 25 tammi 2014 20:00;;4;;;;;;3;3;0;;3;;;5;4
la 25 tammi 2014 21:00;;1;;;;;;1;1;0;;5;;;0;3
la 25 tammi 2014 22:00;;5;;;;;;4;1;1;;3;;;5;5
la 25 tammi 2014 23:00;;4;;;;;;1;1;1;;2;;;1;1
su 26 tammi 2014 00:00;;1;;;;;;1;2;1;;3;;;3;2
su 26 tammi 2014 01:00;;1;;;;;;1;0;1;;7;;;1;2
su 26 tammi 2014 02:00;;1;;;;;;0;0;1;;3;;;1;1
su 26 tammi 2014 03:00;;0;;;;;;1;1;1;;1;;;1;0
su 26 tammi 2014 04:00;;0;;;;;;0;0;0;;3;;;2;0
su 26 tammi 2014 05:00;;2;;;;;;0;1;0;;1;;;0;2
su 26 tammi 2014 06:00;;0;;;;;;0;2;2;;1;;;0;2
su 26 tammi 2014 07:00;;3;;;;;;2;3;0;;3;;;4;3
su 26 tammi 2014 08:00;;0;;;;;;3;3;1;;2;;;3;1
su 26 tammi 2014 09:00;;3;;;;;;4;9;3;;1;;;2;7
su 26 tammi 2014 10:00;;8;;;;;;2;7;11;;1;;;1;9
su 26 tammi 2014 11:00;;6;;;;;;5;9;8;;8;;;3;15
su 26 tammi 2014 12:00;;6;;;;;;7;11;6;;7;;;10;10
su 26 tammi 2014 13:00;;9;;;;;;6;12;11;;9;;;7;19
su 26 tammi 2014 14:00;;13;;;;;;3;18;13;;6;;;6;10
su 26 tammi 2014 15:00;;3;;;;;;11;11;9;;13;;;10;16
su 26 tammi 2014 16:00;;2;;;;;;11;5;7;;4;;;7;15
su 26 tammi 2014 17:00;;3;;;;;;7;10;3;;6;;;3;10
su 26 tammi 2014 18:00;;6;;;;;;9;2;4;;5;;;9;7
su 26 tammi 2014 19:00;;4;;;;;;1;4;1;;5;;;10;3
su 26 tammi 2014 20:00;;5;;;;;;6;3;1;;3;;;3;12
su 26 tammi 2014 21:00;;1;;;;;;2;2;1;;4;;;1;4
su 26 tammi 2014 22:00;;4;;;;;;2;4;0;;6;;;2;3
su 26 tammi 2014 23:00;;1;;;;;;0;1;0;;2;;;1;1
ma 27 tammi 2014 00:00;;0;;;;;;0;0;0;;1;;;1;2
ma 27 tammi 2014 01:00;;0;;;;;;0;0;0;;0;;;1;0
ma 27 tammi 2014 02:00;;0;;;;;;0;0;0;;2;;;0;0
ma 27 tammi 2014 03:00;;0;;;;;;1;1;0;;0;;;0;0
ma 27 tammi 2014 04:00;;0;;;;;;0;1;0;;0;;;1;1
ma 27 tammi 2014 05:00;;0;;;;;;0;1;2;;3;;;1;9
ma 27 tammi 2014 06:00;;15;;;;;;11;13;3;;2;;;8;20
ma 27 tammi 2014 07:00;;31;;;;;;40;39;7;;6;;;14;64
ma 27 tammi 2014 08:00;;51;;;;;;47;45;41;;4;;;43;88
ma 27 tammi 2014 09:00;;41;;;;;;20;23;32;;13;;;22;55
ma 27 tammi 2014 10:00;;18;;;;;;8;10;11;;7;;;17;25
ma 27 tammi 2014 11:00;;12;;;;;;4;6;8;;11;;;14;20
ma 27 tammi 2014 12:00;;16;;;;;;10;12;13;;8;;;48;18
ma 27 tammi 2014 13:00;;6;;;;;;4;12;12;;11;;;13;17
ma 27 tammi 2014 14:00;;17;;;;;;5;9;16;;17;;;48;28
ma 27 tammi 2014 15:00;;24;;;;;;13;25;27;;22;;;26;33
ma 27 tammi 2014 16:00;;39;;;;;;40;39;36;;15;;;34;80
ma 27 tammi 2014 17:00;;41;;;;;;29;28;13;;17;;;29;79
ma 27 tammi 2014 18:00;;21;;;;;;24;16;16;;17;;;22;40
ma 27 tammi 2014 19:00;;20;;;;;;15;6;3;;8;;;14;20
ma 27 tammi 2014 20:00;;7;;;;;;9;14;6;;11;;;5;22
ma 27 tammi 2014 21:00;;10;;;;;;7;7;0;;6;;;9;5
ma 27 tammi 2014 22:00;;2;;;;;;2;7;3;;3;;;0;6
ma 27 tammi 2014 23:00;;1;;;;;;1;0;0;;1;;;1;1
ti 28 tammi 2014 00:00;;3;;;;;;0;0;0;;0;;;1;1
ti 28 tammi 2014 01:00;;2;;;;;;0;0;0;;2;;;0;1
ti 28 tammi 2014 02:00;;0;;;;;;0;0;0;;0;;;0;0
ti 28 tammi 2014 03:00;;0;;;;;;2;0;0;;1;;;0;0
ti 28 tammi 2014 04:00;;0;;;;;;0;0;0;;0;;;0;1
ti 28 tammi 2014 05:00;;0;;;;;;0;2;1;;4;;;2;6
ti 28 tammi 2014 06:00;;12;;;;;;6;15;1;;4;;;3;18
ti 28 tammi 2014 07:00;;31;;;;;;42;34;7;;4;;;22;62
ti 28 tammi 2014 08:00;;60;;;;;;45;49;26;;11;;;38;89
ti 28 tammi 2014 09:00;;23;;;;;;18;14;30;;14;;;18;49
ti 28 tammi 2014 10:00;;22;;;;;;10;3;6;;10;;;10;16
ti 28 tammi 2014 11:00;;8;;;;;;5;5;12;;11;;;9;17
ti 28 tammi 2014 12:00;;8;;;;;;3;7;8;;17;;;21;18
ti 28 tammi 2014 13:00;;8;;;;;;6;8;10;;11;;;16;20
ti 28 tammi 2014 14:00;;15;;;;;;3;11;8;;14;;;13;19
ti 28 tammi 2014 15:00;;26;;;;;;30;22;34;;7;;;30;33
ti 28 tammi 2014 16:00;;44;;;;;;33;35;30;;18;;;32;70
ti 28 tammi 2014 17:00;;28;;;;;;37;33;16;;29;;;29;73
ti 28 tammi 2014 18:00;;27;;;;;;25;17;7;;10;;;20;34
ti 28 tammi 2014 19:00;;15;;;;;;13;9;3;;10;;;23;23
ti 28 tammi 2014 20:00;;10;;;;;;8;5;6;;8;;;41;19
ti 28 tammi 2014 21:00;;7;;;;;;4;9;4;;10;;;8;10
ti 28 tammi 2014 22:00;;6;;;;;;3;3;1;;4;;;1;9
ti 28 tammi 2014 23:00;;3;;;;;;3;1;0;;0;;;2;3
ke 29 tammi 2014 00:00;;1;;;;;;0;0;0;;2;;;2;1
ke 29 tammi 2014 01:00;;0;;;;;;0;0;0;;2;;;1;1
ke 29 tammi 2014 02:00;;0;;;;;;0;1;0;;0;;;0;1
ke 29 tammi 2014 03:00;;0;;;;;;0;0;0;;1;;;0;0
ke 29 tammi 2014 04:00;;0;;;;;;0;0;0;;0;;;0;2
ke 29 tammi 2014 05:00;;0;;;;;;0;1;0;;2;;;0;6
ke 29 tammi 2014 06:00;;11;;;;;;5;12;3;;3;;;6;17
ke 29 tammi 2014 07:00;;23;;;;;;38;35;6;;7;;;15;59
ke 29 tammi 2014 08:00;;51;;;;;;48;46;41;;18;;;33;74
ke 29 tammi 2014 09:00;;35;;;;;;13;22;19;;15;;;23;51
ke 29 tammi 2014 10:00;;18;;;;;;7;10;17;;11;;;18;16
ke 29 tammi 2014 11:00;;11;;;;;;10;6;11;;5;;;77;11
ke 29 tammi 2014 12:00;;14;;;;;;9;14;12;;14;;;14;7
ke 29 tammi 2014 13:00;;9;;;;;;6;14;8;;11;;;12;12
ke 29 tammi 2014 14:00;;8;;;;;;10;8;10;;16;;;20;19
ke 29 tammi 2014 15:00;;27;;;;;;12;32;30;;13;;;23;32
ke 29 tammi 2014 16:00;;31;;;;;;32;35;42;;19;;;33;69
ke 29 tammi 2014 17:00;;45;;;;;;24;36;10;;15;;;17;58
ke 29 tammi 2014 18:00;;19;;;;;;23;16;9;;14;;;17;42
ke 29 tammi 2014 19:00;;14;;;;;;17;11;7;;16;;;13;31
ke 29 tammi 2014 20:00;;18;;;;;;14;13;4;;9;;;3;22
ke 29 tammi 2014 21:00;;8;;;;;;10;9;2;;5;;;8;9
ke 29 tammi 2014 22:00;;2;;;;;;5;2;3;;3;;;0;3
ke 29 tammi 2014 23:00;;3;;;;;;1;2;0;;3;;;1;4
to 30 tammi 2014 00:00;;0;;;;;;0;0;0;;0;;;1;1
to 30 tammi 2014 01:00;;1;;;;;;0;0;0;;1;;;0;0
to 30 tammi 2014 02:00;;1;;;;;;0;0;0;;1;;;0;0
to 30 tammi 2014 03:00;;0;;;;;;0;1;0;;1;;;0;1
to 30 tammi 2014 04:00;;0;;;;;;0;1;0;;2;;;0;3
to 30 tammi 2014 05:00;;0;;;;;;0;2;1;;3;;;1;4
to 30 tammi 2014 06:00;;13;;;;;;5;11;2;;3;;;5;23
to 30 tammi 2014 07:00;;25;;;;;;43;32;10;;5;;;12;53
to 30 tammi 2014 08:00;;41;;;;;;42;43;49;;15;;;34;83
to 30 tammi 2014 09:00;;32;;;;;;12;18;24;;21;;;20;45
to 30 tammi 2014 10:00;;23;;;;;;10;11;11;;14;;;17;13
to 30 tammi 2014 11:00;;12;;;;;;5;13;12;;11;;;12;19
